#! FIELDS cv1 file.free der_cv1
#! SET min_cv1 0
#! SET max_cv1 3.0
#! SET nbins_cv1  301
#! SET periodic_cv1 false
    0.000000000   -6.798582889 -166.112241836
    0.010000000   -8.577652007 -188.886413864
    0.020000000  -10.570999159 -208.713515352
    0.030000000  -12.743034963 -224.387381024
    0.040000000  -15.046197985 -234.924119489
    0.050000000  -17.426856025 -239.828553158
    0.060000000  -19.828399795 -239.039281190
    0.070000000  -22.195742618 -232.932145457
    0.080000000  -24.476683307 -222.067675264
    0.090000000  -26.628821555 -207.400422550
    0.100000000  -28.620498888 -190.084001717
    0.110000000  -30.430567642 -171.261426868
    0.120000000  -32.049466296 -152.045176786
    0.130000000  -33.478121910 -133.417367642
    0.140000000  -34.729115349 -116.358518351
    0.150000000  -35.818432297 -101.340900316
    0.160000000  -36.769147940  -88.754983211
    0.170000000  -37.608024389  -78.831990181
    0.180000000  -38.359642587  -71.390930228
    0.190000000  -39.049489873  -66.294633087
    0.200000000  -39.695973470  -62.970003102
    0.210000000  -40.316991857  -60.974813030
    0.220000000  -40.920799148  -59.856546466
    0.230000000  -41.516857678  -59.160756738
    0.240000000  -42.104512593  -58.406025576
    0.250000000  -42.684411425  -57.372294842
    0.260000000  -43.252377627  -56.064394667
    0.270000000  -43.803317747  -54.223960299
    0.280000000  -44.332200055  -51.514606255
    0.290000000  -44.829750679  -47.970748432
    0.300000000  -45.286173132  -43.516655436
    0.310000000  -45.693669070  -38.150556966
    0.320000000  -46.043804680  -32.128318790
    0.330000000  -46.332950843  -26.029535281
    0.340000000  -46.564493644  -20.420882705
    0.350000000  -46.743972974  -16.062991228
    0.360000000  -46.887774107  -13.677844321
    0.370000000  -47.019527470  -13.308632034
    0.380000000  -47.159251463  -15.318047374
    0.390000000  -47.329480713  -19.433724366
    0.400000000  -47.547370576  -24.907118401
    0.410000000  -47.823802368  -30.748996798
    0.420000000  -48.157473991  -36.216127217
    0.430000000  -48.541532640  -40.610824019
    0.440000000  -48.957391368  -43.291549614
    0.450000000  -49.392891784  -43.824490388
    0.460000000  -49.823545614  -42.175264476
    0.470000000  -50.226486631  -38.635928735
    0.480000000  -50.585528593  -33.441360164
    0.490000000  -50.886143479  -26.935620916
    0.500000000  -51.117016098  -19.734722015
    0.510000000  -51.274270492  -12.598956921
    0.520000000  -51.363851560   -6.126246441
    0.530000000  -51.395269591   -0.867972850
    0.540000000  -51.383270945    2.424949944
    0.550000000  -51.350209293    3.561886462
    0.560000000  -51.314884745    2.396056163
    0.570000000  -51.302070928   -0.464119918
    0.580000000  -51.324650388   -4.588162382
    0.590000000  -51.391678969   -9.134959517
    0.600000000  -51.502333478  -13.589143499
    0.610000000  -51.655003530  -17.073258933
    0.620000000  -51.837707792  -19.825629110
    0.630000000  -52.043219107  -21.948590305
    0.640000000  -52.267358693  -23.637424436
    0.650000000  -52.509477232  -25.179023270
    0.660000000  -52.767423283  -27.169030062
    0.670000000  -53.047889156  -29.447690911
    0.680000000  -53.351536410  -31.849319805
    0.690000000  -53.678746576  -33.850104205
    0.700000000  -54.019039556  -34.947924597
    0.710000000  -54.365249919  -34.800883907
